,type,word,position,stemmed,polarity
424,0.5,appearance,noun,n,0
425,0.5,appease,verb,y,1
426,1.0,applaud,verb,y,1
427,0.5,appreciable,adj,n,1
428,1.0,appreciate,verb,y,1
429,1.0,appreciation,adj,n,1
430,1.0,appreciation,noun,n,1
431,1.0,appreciative,anypos,n,1
432,1.0,appreciatively,anypos,y,1
433,1.0,appreciativeness,anypos,y,1
434,0.5,apprehend,verb,y,0
435,1.0,apprehension,noun,n,-1
436,1.0,apprehensions,adj,n,-1
437,1.0,apprehensions,noun,n,-1
438,1.0,apprehensive,adj,n,-1
439,1.0,apprehensive,noun,n,-1
440,1.0,apprehensively,anypos,y,-1
441,0.5,appropriate,adj,n,1
442,0.5,approval,noun,n,1
443,0.5,approve,verb,y,1
444,0.5,apt,adj,n,1
445,0.5,aptly,adverb,n,1
446,0.5,aptitude,noun,n,1
447,1.0,arbitrary,adj,n,-1
448,1.0,arcane,adj,n,-1
449,1.0,archaic,adj,n,-1
450,1.0,ardent,adj,n,1
451,1.0,ardently,anypos,n,1
452,1.0,ardor,noun,n,1
453,1.0,arduous,adj,n,-1
454,1.0,arduously,anypos,n,-1
455,0.5,aristocratic,adj,n,1
456,1.0,argue,verb,y,-1
457,0.5,argument,adj,n,-1
458,0.5,argument,noun,n,-1
459,1.0,argumentative,anypos,y,-1
460,0.5,arguments,adj,n,-1
461,0.5,arguments,noun,n,-1
462,1.0,arousal,anypos,y,1
463,1.0,arouse,verb,y,1
464,1.0,arousing,anypos,y,1
465,1.0,arresting,adj,n,1
466,1.0,arrogance,noun,n,-1
467,1.0,arrogant,adj,n,-1
468,1.0,arrogant,anypos,y,-1
469,1.0,arrogantly,anypos,n,-1
470,1.0,arrogantly,anypos,y,-1
471,1.0,articulate,adj,n,1
472,0.5,artificial,adj,n,-1
473,1.0,ascendant,adj,n,1
474,1.0,ascendant,noun,n,1
475,1.0,ascertainable,adj,n,1
476,1.0,ascertainable,noun,n,1
477,1.0,ashamed,adj,n,-1
478,1.0,asinine,adj,n,-1
479,1.0,asininely,adverb,n,-1
480,1.0,asinininity,noun,n,-1
481,1.0,askance,adverb,n,-1
482,1.0,asperse,verb,y,-1
483,1.0,aspersion,noun,n,-1
484,1.0,aspersions,noun,n,-1
485,1.0,aspiration,noun,n,1
486,1.0,aspirations,adj,n,1
487,1.0,aspirations,noun,n,1
488,1.0,aspire,verb,y,1
489,0.5,assail,verb,y,-1
490,0.5,assassinate,verb,y,-1
491,1.0,assassin,noun,n,-1
492,0.5,assault,adj,n,-1
493,0.5,assault,noun,n,-1
494,1.0,assent,verb,y,1
495,1.0,assertions,adj,n,1
496,1.0,assertions,noun,n,1
497,0.5,assertive,adj,n,1
498,1.0,assess,verb,y,0
499,0.5,assessment,adj,n,0
500,0.5,assessment,noun,n,0
501,0.5,assessments,adj,n,0
502,0.5,assessments,noun,n,0
503,0.5,asset,noun,n,1
504,1.0,assiduous,adj,n,1
505,1.0,assiduously,adverb,n,1
506,0.5,assuage,verb,y,1
507,0.5,assumption,adj,n,0
508,0.5,assumption,noun,n,0
509,0.5,assurance,adj,n,1
510,0.5,assurance,noun,n,1
511,0.5,assurances,adj,n,1
512,0.5,assurances,noun,n,1
513,1.0,assure,verb,y,1
514,1.0,assuredly,anypos,n,1
515,1.0,astonish,verb,y,1
516,1.0,astonished,adj,n,1
517,1.0,astonishing,adj,n,1
518,1.0,astonishing,anypos,y,1
519,1.0,astonishingly,anypos,n,1
520,1.0,astonishment,noun,n,1
521,1.0,astound,verb,y,1
522,1.0,astounded,adj,n,1
523,1.0,astounding,adj,n,1
524,1.0,astounding,anypos,n,1
525,1.0,astounding,anypos,y,1
526,1.0,astoundingly,anypos,n,1
527,0.5,astray,adj,n,-1
528,1.0,astronomic,adj,n,0
529,1.0,astronomical,adj,n,0
530,1.0,astronomically,anypos,n,0
531,1.0,astute,adj,n,1
532,1.0,astutely,adverb,n,1
533,1.0,asunder,anypos,n,-1
534,0.5,asylum,adj,n,1
535,0.5,asylum,noun,n,1
536,1.0,atrocious,adj,n,-1
537,1.0,atrocities,noun,n,-1
538,1.0,atrocity,noun,n,-1
539,1.0,atrophy,verb,y,-1
540,0.5,attack,noun,n,-1
541,0.5,attack,verb,y,-1
542,0.5,attain,verb,y,1
543,0.5,attainable,adj,n,1
544,1.0,attentive,adj,n,1
545,1.0,attest,verb,y,1
546,1.0,attitude,adj,n,0
547,1.0,attitude,noun,n,0
548,0.5,attitudes,adj,n,0
549,0.5,attitudes,noun,n,0
550,1.0,attraction,adj,n,1
551,1.0,attraction,noun,n,1
552,1.0,attractive,adj,n,1
553,1.0,attractive,noun,n,1
554,1.0,attractively,anypos,y,1
555,0.5,attune,adj,n,1
556,1.0,audacious,adj,n,-1
557,1.0,audaciously,anypos,n,-1
558,1.0,audaciousness,noun,n,-1
559,1.0,audacity,noun,n,-1
560,1.0,auspicious,adj,n,1
561,1.0,austere,adj,n,-1
562,0.5,authentic,adj,n,1
563,0.5,authoritarian,adj,n,-1
564,0.5,authoritative,adj,n,1
565,1.0,autocrat,noun,n,-1
566,1.0,autocratic,adj,n,-1
567,0.5,award,adj,n,1
568,0.5,award,verb,y,1
569,1.0,awareness,noun,n,0
570,1.0,aware,adj,n,0
571,1.0,autocratic,adj,n,-1
572,1.0,autocratic,noun,n,-1
573,0.5,autonomous,adj,n,1
574,1.0,avalanche,adj,n,-1
575,1.0,avalanche,noun,n,-1
576,1.0,avarice,noun,n,-1
577,1.0,avaricious,adj,n,-1
578,1.0,avariciously,adj,n,-1
579,1.0,avenge,verb,y,-1
580,1.0,aver,verb,y,1
581,1.0,averse,anypos,n,-1
582,1.0,aversion,noun,n,-1
583,1.0,avid,adj,n,1
584,1.0,avidly,anypos,n,1
585,0.5,avoid,verb,y,-1
586,0.5,avoidance,noun,n,-1
587,1.0,awe,noun,n,1
588,1.0,awe,verb,y,1
589,1.0,awed,adj,n,1
590,1.0,awesome,adj,n,1
591,1.0,awesome,anypos,y,1
592,1.0,awesomely,anypos,n,1
593,1.0,awesomeness,noun,n,1
594,1.0,awestruck,adj,n,1
595,1.0,awful,adj,n,-1
596,1.0,awful,anypos,n,-1
597,1.0,awfully,anypos,n,-1
598,1.0,awfulness,anypos,y,-1
599,1.0,awfulness,noun,n,-1
600,1.0,awkward,adj,n,-1
601,1.0,awkwardness,noun,n,-1
602,1.0,ax,verb,y,-1
603,1.0,babble,verb,y,-1
604,1.0,baby,adj,n,0
605,1.0,baby,noun,n,0
606,0.5,back,verb,y,1
607,1.0,backbite,verb,y,-1
608,1.0,backbiting,anypos,n,-1
609,0.5,backbone,noun,n,1
610,1.0,backward,adj,n,-1
611,1.0,backwardness,noun,n,-1
612,1.0,bad,adj,n,-1
613,1.0,badly,adj,n,-1
614,1.0,baffle,verb,y,-1
615,1.0,baffled,adj,n,-1
616,1.0,bafflement,noun,n,-1
617,1.0,baffling,anypos,n,-1
618,1.0,bait,verb,y,-1
619,0.5,balanced,adj,n,1
620,1.0,balk,verb,y,-1
621,1.0,banal,adj,n,-1
622,1.0,banal,anypos,y,-1
623,1.0,banalize,verb,y,-1
624,1.0,bane,noun,n,-1
625,1.0,banish,adj,n,-1
626,1.0,banish,verb,y,-1
627,1.0,banishment,noun,n,-1
628,0.5,bankrupt,adj,n,-1
629,0.5,bankrupt,verb,y,-1
630,0.5,bar,verb,y,-1
631,1.0,barbarian,adj,n,-1
632,1.0,barbarian,noun,n,-1
633,1.0,barbaric,adj,n,-1
634,1.0,barbarically,anypos,n,-1
635,1.0,barbarity,adj,n,-1
636,1.0,barbarity,noun,n,-1
637,1.0,barbarous,adj,n,-1
638,1.0,barbarous,anypos,y,-1
639,1.0,barbarously,anypos,n,-1
640,0.5,barely,anypos,y,-1
641,1.0,bargain,noun,n,1
642,1.0,bargain,adj,n,1
643,1.0,barren,adj,n,-1
644,1.0,baseless,adj,n,-1
645,1.0,bashful,adj,n,-1
646,0.5,basic,adj,n,1
647,0.5,basically,anypos,n,0
648,0.5,bask,verb,y,1
649,1.0,bastard,anypos,y,-1
650,1.0,bastard,noun,n,-1
651,0.5,batons,adj,n,0
652,0.5,batons,noun,n,0
653,0.5,battered,adj,n,-1
654,0.5,battering,adj,n,-1
655,0.5,battering,noun,n,-1
656,0.5,battle,verb,y,-1
657,1.0,battle-lines,adj,n,-1
658,1.0,battle-lines,noun,n,-1
659,0.5,battlefield,noun,n,-1
660,1.0,battleground,adj,n,-1
661,1.0,battleground,noun,n,-1
662,1.0,batty,adj,n,-1
663,0.5,beacon,noun,n,1
664,0.5,bearish,adj,n,-1
665,1.0,beast,adj,n,-1
666,1.0,beast,noun,n,-1
667,1.0,beastly,adj,n,-1
668,1.0,beatify,verb,y,1
669,1.0,beauteous,adj,n,1
670,1.0,beautiful,adj,n,1
671,1.0,beautiful,anypos,y,1
672,1.0,beautifully,anypos,n,1
673,1.0,beautify,verb,y,1
674,1.0,beauty,noun,n,1
675,1.0,bedlam,noun,n,-1
676,1.0,bedlamite,noun,n,-1
677,1.0,befit,verb,y,1
678,1.0,befitting,adj,n,1
679,1.0,befoul,verb,y,-1
680,1.0,befriend,verb,y,1
681,1.0,beg,verb,y,-1
682,0.5,beggar,noun,n,-1
683,1.0,beggarly,adj,n,-1
684,1.0,begging,adj,n,-1
685,1.0,begging,noun,n,-1
686,1.0,beguile,verb,y,-1
687,0.5,belated,adj,n,-1
688,1.0,belabor,verb,y,-1
689,1.0,beleaguer,verb,y,-1
690,1.0,belie,verb,y,-1
691,1.0,belief,adj,n,0
692,1.0,belief,noun,n,0
693,0.5,beliefs,adj,n,0
694,0.5,beliefs,noun,n,0
695,1.0,believable,adj,n,1
696,1.0,believe,verb,y,0
697,1.0,belittle,verb,y,-1
698,1.0,belittled,adj,n,-1
699,1.0,belittling,anypos,y,-1
700,1.0,bellicose,adj,n,-1
701,1.0,bellicose,noun,n,-1
702,1.0,belligerence,noun,n,-1
703,1.0,belligerent,adj,n,-1
704,1.0,belligerent,anypos,y,-1
705,1.0,belligerently,anypos,n,-1
706,1.0,beloved,adj,n,1
707,1.0,bemoan,verb,y,-1
708,1.0,bemoaning,adj,n,-1
709,1.0,bemused,adj,n,-1
710,0.5,benefactor,noun,n,1
711,0.5,beneficial,adj,n,1
712,1.0,beneficent,adj,n,1
713,1.0,beneficial,anypos,y,1
714,1.0,beneficially,anypos,y,1
715,1.0,beneficiary,adj,n,1
716,1.0,beneficiary,noun,n,1
717,0.5,benefit,adj,n,1
718,0.5,benefit,noun,n,1
719,0.5,benefits,adj,n,1
720,0.5,benefits,noun,n,1
721,1.0,benevolence,noun,n,1
722,1.0,benevolent,adj,n,1
723,0.5,benign,adj,n,1
724,0.5,bent,adj,n,-1
725,1.0,berate,verb,y,-1
726,1.0,bereave,verb,y,-1
727,1.0,bereavement,noun,n,-1
728,1.0,bereft,anypos,n,-1
729,1.0,berserk,adj,n,-1
730,1.0,beseech,verb,y,-1
731,0.5,beset,adj,n,-1
732,1.0,besides,anypos,y,0
733,0.5,besiege,verb,y,-1
734,1.0,besmirch,verb,y,-1
735,1.0,best,anypos,y,1
736,1.0,best-known,adj,n,1
737,1.0,best-performing,adj,n,1
738,0.5,best-selling,adj,n,1
739,1.0,bestial,adj,n,-1
740,1.0,betray,verb,y,-1
741,1.0,betrayal,noun,n,-1
742,1.0,betrayals,noun,n,-1
743,1.0,betrayer,noun,n,-1
744,1.0,better,adj,n,1
745,0.5,better,anypos,y,1
746,1.0,better-known,adj,n,1
747,1.0,better-than-expected,adj,n,1
748,1.0,bewail,verb,y,-1
749,0.5,beware,verb,y,-1
750,1.0,bewilder,verb,y,-1
751,1.0,bewildered,adj,n,-1
752,1.0,bewildering,adj,n,-1
753,1.0,bewildering,anypos,n,-1
754,1.0,bewilderingly,anypos,n,-1
755,1.0,bewilderment,noun,n,-1
756,1.0,bewitch,verb,y,-1
757,1.0,bias,adj,n,-1
758,1.0,bias,noun,n,-1
759,1.0,bias,verb,y,-1
760,1.0,biased,adj,n,-1
761,1.0,biased,noun,n,-1
762,1.0,biases,adj,n,-1
763,1.0,biases,noun,n,-1
764,1.0,bicker,verb,y,-1
765,1.0,bickering,anypos,n,-1
766,0.5,bid-rigging,adj,n,-1
767,0.5,big,adj,n,0
768,1.0,bitch,verb,y,-1
769,1.0,bitchy,adj,n,-1
770,1.0,biting,adj,n,-1
771,1.0,bitingly,anypos,n,-1
772,1.0,bitter,adj,n,-1
773,1.0,bitterly,anypos,n,-1
774,1.0,bitterness,noun,n,-1
775,1.0,bizarre,adj,n,-1
776,1.0,blab,verb,y,-1
